product_id,review_count_observed,review_avg_rating,recommendation_rate,avg_helpfulness,avg_review_length,skin_share_dry,theme_lightweight_count,theme_greasy_count,theme_hydrating_count,theme_drying_count,theme_fragrance_count,theme_irritation_count,theme_breakout_count,theme_absorption_count,theme_sticky_count,theme_texture_count,theme_effective_count,skin_share_unknown,skin_share_combination,skin_share_normal,skin_share_oily,skin_share_sensitive
P297516,3287,4.289017341040463,0.8258575197889182,0.7915001043608535,301.4262245208397,0.08853057499239428,3,748,344,1331,614,507,672,7,21,1655,518,0.2293885001521144,0.4913294797687861,0.08974749011256465,0.10100395497414055,0.0
P454380,3268,4.260097919216646,0.8111995104039168,0.8348045079356379,297.48837209302326,0.17258261933904528,249,1041,286,244,436,415,519,139,121,1542,615,0.012239902080783354,0.533047735618115,0.13555691554467564,0.14657282741738067,0.0
P470255,3266,4.26056338028169,0.8113900796080833,0.8348289551943997,297.3484384568279,0.1726883037354562,249,1040,286,244,436,415,519,138,121,1541,615,0.01224739742804654,0.5327617881200245,0.13563992651561543,0.14666258420085732,0.0
P442563,3246,4.572088724584104,0.9162045594577942,0.8046721077917335,335.8099199014171,0.14048059149722736,3,159,288,338,45,1075,906,11,9,957,1055,0.00862600123228589,0.5788662969808995,0.11028958718422674,0.16173752310536044,0.0
P480612,3167,4.402589201136722,0.9194821597726555,0.3696306464497489,279.5929902115567,0.16135143669087465,555,771,1334,549,990,382,358,220,133,1504,481,0.0053678560151563,0.5863593305967792,0.14524786864540576,0.10167350805178402,0.0
P441101,3162,4.104364326375712,0.7590132827324478,0.8007305324663923,336.1246046805819,0.3387096774193548,33,729,1701,1301,471,428,483,266,130,1239,522,0.018975332068311195,0.4541429475015813,0.1312460468058191,0.056925996204933584,0.0
P232903,3153,4.224230891214716,0.7765486725663717,0.769891810090658,355.68664763717095,0.058039961941008564,1,122,210,782,480,315,2211,21,0,289,1811,0.3051062480177609,0.4224548049476689,0.06660323501427212,0.14779575007928958,0.0
P378852,3136,4.401147959183674,0.8650485436893204,0.7913599992586562,316.80548469387753,0.08322704081632654,697,1092,2272,688,1161,341,383,442,187,1482,407,0.43654336734693877,0.32206632653061223,0.08258928571428571,0.07557397959183673,0.0
P456207,3112,4.348007712082262,0.8978149100257069,0.7660480604223583,262.94762210796915,0.16613110539845757,295,783,1734,782,890,413,257,215,175,1712,376,0.012532133676092546,0.5626606683804627,0.1262853470437018,0.13239074550128535,0.0
P455364,3000,3.604,0.6406666666666667,0.7219170879880844,327.56933333333336,0.21833333333333332,7,560,295,548,364,542,256,10,34,1336,626,0.017333333333333333,0.5106666666666667,0.12333333333333334,0.13033333333333333,0.0
